Trial,Average Distance (pixels),Width (pixels),Index of Difficulty (bits),Average Time (milliseconds),完整精度的ID,b(slope),a(intercept),R^2
1,276.68,185,1.32,691.73,1.319367965,156.4260286,336.9988282,0.69250496
2,993.2,92,3.56,1074.9,3.560183281,,,
3,927.6,185,2.59,858.3,2.588337835,,,
4,647.9,92,3.01,860.1,3.007624532,,,
5,592.2,277,1.65,599.2,1.649802198,,,
6,265.9,92,1.96,693.8,1.959850777,,,
7,750.8,277,1.89,760.4,1.891601676,,,
8,608.1,185,2.1,857.4,2.099977512,,,
9,347.1,277,1.17,592.1,1.171891235,,,
10,282.05,185,1.34,587.45,1.336051735,,,
11,265.9,92,1.96,599.1,1.959850777,,,
12,572.8,185,2.03,655.9,2.034291869,,,
13,535.8,277,1.55,575,1.553014426,,,
14,997.4,92,3.57,910.3,3.565756101,,,
15,641.6,92,3,887.9,2.995287873,,,
16,349.2,277,1.18,502.9,1.176737532,,,
17,891.9,185,2.54,862,2.541287113,,,
18,827.6,277,2,863.4,1.995566151,,,
19,291.05,185,1.36,550.73,1.363587838,,,
20,901.5,185,2.55,748.9,2.554090999,,,
21,381.9,277,1.25,443.8,1.25017355,,,
22,778.5,277,1.93,670.3,1.929968697,,,
23,639.9,92,2.99,731.6,2.991940779,,,
24,547.3,277,1.57,570.1,1.573283519,,,
25,609.3,185,2.1,586.1,2.102158733,,,
26,272.9,92,1.99,594.4,1.987795385,,,
27,1006.9,92,3.58,799.7,3.578282435,,,
28,894.14,185,2.54,686.27,2.544284866,,,
29,608.8,277,1.68,581,1.677095021,,,
30,638.9,92,2.99,877.2,2.989968267,,,
31,609.8,185,2.1,629,2.103066602,,,
32,768.9,277,1.92,717,1.916787039,,,
33,280.9,92,2.02,658.1,2.019083031,,,
34,1012.3,92,3.59,890,3.585354484,,,
35,328.4,185,1.47,725.3,1.472558025,,,
36,338.9,277,1.15,500.8,1.152810152,,,
37,577.23,277,1.62,544.64,1.624738589,,,
38,278.4,92,2.01,937.7,2.009378332,,,
39,600.2,185,2.09,619.5,2.085534902,,,
40,318.8,185,1.45,599.6,1.445325851,,,
41,921.7,185,2.58,729.4,2.580667019,,,
42,645.2,92,3,866.4,3.002350305,,,
43,353,277,1.19,579.2,1.185465852,,,
44,999,92,3.57,1024.4,3.56787343,,,
45,767.4,277,1.91,778.4,1.914716481,,,
46,329.95,185,1.48,570.27,1.476907087,,,
47,888.9,185,2.54,761.8,2.537262482,,,
48,778.2,277,1.93,627.7,1.929558588,,,
49,1010.6,92,3.58,882.3,3.583131835,,,
50,560.5,277,1.6,628.7,1.596203214,,,
51,617.5,185,2.12,627.8,2.116976121,,,
52,643.9,92,3,771.3,2.999803968,,,
53,277,92,2,642.2,2.00391505,,,
54,330.7,277,1.13,520.3,1.133473316,,,
55,302.77,185,1.4,507.45,1.398675758,,,
56,277.8,92,2.01,535.5,2.007039458,,,
57,604,185,2.09,641.9,2.092500029,,,
58,894.8,185,2.55,699.1,2.545166946,,,
59,1012.3,92,3.59,902,3.585354484,,,
60,386.6,277,1.26,628.2,1.26042791,,,
61,639.2,92,2.99,732.4,2.990560304,,,
62,546.8,277,1.57,554.5,1.57240815,,,
63,774.3,277,1.92,664.3,1.924216536,,,
64,991.73,92,3.56,817.09,3.558227698,,,
65,305.5,185,1.41,494.5,1.406727866,,,
66,560.7,277,1.6,522.4,1.596547697,,,
67,357.6,277,1.2,450.4,1.195961545,,,
68,777.6,277,1.93,587.6,1.92873802,,,
69,637.6,92,2.99,726.7,2.987399963,,,
70,903.8,185,2.56,702.8,2.557141796,,,
71,273.6,92,1.99,636.6,1.990560304,,,
72,601.9,185,2.09,589.1,2.088655038,,,
73,587.95,185,2.06,645.45,2.062849822,,,
74,648.9,92,3.01,757,3.009573067,,,
75,880.1,185,2.53,743.6,2.525391713,,,
76,775.1,277,1.93,573.8,1.925313955,,,
77,370,277,1.22,453.3,1.223879736,,,
78,558.8,277,1.59,576.6,1.593271782,,,
79,325.1,185,1.46,473.6,1.46325483,,,
80,1008.3,92,3.58,851,3.580119261,,,
81,268.7,92,1.97,608.7,1.971093657,,,
82,886.14,185,2.53,804.18,2.533549879,,,
83,782.9,277,1.94,609.1,1.935970274,,,
84,570.3,277,1.61,558,1.612986893,,,
85,599.5,185,2.08,623.3,2.084248176,,,
86,307.9,185,1.41,490.6,1.41376971,,,
87,1009,92,3.58,917.7,3.581036798,,,
88,362.4,277,1.21,491.3,1.206832768,,,
89,276.4,92,2,815.2,2.001567295,,,
90,644.6,92,3,735.3,3.001175631,,,
91,254.55,92,1.91,711.36,1.913357752,,,
92,887.4,185,2.54,732.9,2.535245949,,,
93,554.5,277,1.59,575.4,1.585830287,,,
94,1004.9,92,3.58,871.1,3.575654336,,,
95,601.8,185,2.09,604.1,2.088471687,,,
96,771.7,277,1.92,563.3,1.920644146,,,
97,633.4,92,2.98,745.9,2.979070979,,,
98,341.9,277,1.16,442.8,1.159820346,,,
99,323,185,1.46,517.7,1.457303226,,,
100,895.41,185,2.55,743,2.545981722,,,
101,602.6,185,2.09,633.6,2.08993784,,,
102,774.7,277,1.92,548.5,1.92476535,,,
103,317.3,185,1.44,581.3,1.441024004,,,
104,259.8,92,1.94,574.2,1.935049717,,,
105,640.9,92,2.99,780.3,2.993910598,,,
106,363.5,277,1.21,460.4,1.209312594,,,
107,551.7,277,1.58,600.6,1.580963946,,,
108,1015.2,92,3.59,765.2,3.589138177,,,
